timestamp,open,high,low,close,st,st_dir,ema21,psar,atr,rsi,prev_mid,signal,position,c1_below_st,c2_not_over,c3_psar,c4_ema,c5_rsi
2026-05-29 12:45:00+05:30,23849.85,23855.25,23844.5,23851.2,23891.51,DOWN,23870.14,23859.05,18.37,40.98,23851.9,-,FLAT,True,False,True,True,True
2026-05-29 12:50:00+05:30,23850.7,23851.9,23837.5,23838.55,23891.51,DOWN,23867.27,23857.5,18.08,37.45,23849.88,-,FLAT,True,False,True,True,True
2026-05-29 12:55:00+05:30,23837.35,23839.45,23821.95,23837.55,23882.13,DOWN,23864.57,23855.25,18.04,37.18,23844.7,-,FLAT,True,False,True,True,True
2026-05-29 13:00:00+05:30,23837.05,23838.3,23817.45,23818.25,23880.42,DOWN,23860.36,23851.9,18.24,32.3,23830.7,-,FLAT,True,False,True,True,True
2026-05-29 13:05:00+05:30,23818.35,23818.4,23798.4,23798.4,23861.69,DOWN,23854.72,23847.48,18.37,28.2,23827.88,-,FLAT,True,False,True,True,True
2026-05-29 13:10:00+05:30,23798.45,23802.8,23769.15,23769.15,23844.03,DOWN,23846.94,23840.61,19.46,23.47,23808.4,-,FLAT,True,False,True,True,True
2026-05-29 13:15:00+05:30,23769.65,23789.5,23759.55,23780.7,23835.76,DOWN,23840.92,23829.18,20.21,28.56,23785.97,-,FLAT,True,False,True,True,True
2026-05-29 13:20:00+05:30,23780.45,23782.65,23760.8,23772.5,23833.39,DOWN,23834.7,23816.65,20.33,27.18,23774.53,-,FLAT,True,False,True,True,True
2026-05-29 13:25:00+05:30,23772.6,23781.05,23765.5,23775.6,23833.39,DOWN,23829.33,23806.37,19.98,28.59,23771.72,-,FLAT,True,False,True,True,True
2026-05-29 13:30:00+05:30,23775.35,23786.05,23771.9,23772.75,23833.39,DOWN,23824.19,23797.94,19.57,28.05,23773.28,-,FLAT,True,False,True,True,True
